S0		A0		S1		S2		S3		S4		A1		A2		A3		A4	
316  Points		313  Points		263  Points		183  Points		155  Points		106  Points		286  Points		227  Points		159  Points		122  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.0473357	5.4658	0.0132621	0.360914	3.02929	475.862	3.2307	579.132	6.46	9352.86	9.09011	968.595	1.61503	991.867	4.84499	936.895	6.06003	2046.61	8.07508	836.633
0.106174	5.46527	0.0220361	0.463798	3.02499	176.564	3.23592	197.974	6.46009	563.837	9.0905	451.108	1.61671	130.433	4.84493	303.986	6.06066	441.492	8.07535	395.491
0.164989	5.46436	0.0329047	0.564606	3.01735	108.152	3.24569	119.715	6.46034	290.692	9.09118	294.04	1.62095	69.9844	4.84482	181.422	6.0621	247.49	8.07583	258.963
0.223769	5.46306	0.0457747	0.662962	3.00721	77.7743	3.25919	86.0432	6.46075	195.836	9.09214	218.116	1.62772	47.9754	4.84464	129.289	6.06436	171.985	8.0765	192.518
0.2825	5.46137	0.0605452	0.758594	2.99539	60.5956	3.27559	67.3364	6.46133	147.663	9.09339	173.367	1.63696	36.6252	4.84442	100.428	6.06741	131.821	8.07736	153.217
0.341169	5.45926	0.077106	0.851256	2.98254	49.5446	3.29424	55.4476	6.46206	118.518	9.09491	143.865	1.6486	29.725	4.84415	82.0978	6.07127	106.899	8.07843	127.249
0.399762	5.45673	0.0953419	0.940758	2.96915	41.8391	3.31465	47.2317	6.46296	98.9875	9.09672	122.954	1.66254	25.1031	4.84385	69.4246	6.07592	89.9323	8.07969	108.815
0.458264	5.45377	0.115138	1.02699	2.95554	36.1612	3.33647	41.2188	6.46402	84.9888	9.0988	107.359	1.67868	21.8024	4.84352	60.1395	6.08135	77.6399	8.08116	95.0517
0.51666	5.45037	0.136378	1.10986	2.94199	31.8056	3.35944	36.6304	6.46525	74.4638	9.10116	95.282	1.6969	19.3354	4.84317	53.044	6.08756	68.3271	8.08282	84.3849
0.574934	5.4465	0.158952	1.18935	2.92867	28.3604	3.38339	33.0156	6.46664	66.2629	9.1038	85.6547	1.71711	17.4275	4.84281	47.4453	6.09453	61.0301	8.08469	75.8756
0.633068	5.44214	0.182749	1.26546	2.91571	25.5691	3.40819	30.0956	6.46821	59.6933	9.1067	77.8008	1.73916	15.9125	4.84246	42.9151	6.10225	55.1602	8.08676	68.9299
0.691045	5.43729	0.207667	1.33824	2.90323	23.2632	3.43374	27.6888	6.46994	54.3126	9.10986	71.272	1.76295	14.6837	4.84212	39.1743	6.11071	50.3377	8.08903	63.1535
0.748844	5.4319	0.233608	1.40774	2.8913	21.3276	3.45996	25.6714	6.47184	49.8253	9.11329	65.7596	1.78835	13.6694	4.84182	36.0332	6.11989	46.3063	8.0915	58.2743
0.806445	5.42596	0.260482	1.47404	2.88001	19.6812	3.4868	23.9568	6.47392	46.0262	9.11697	61.0437	1.81525	12.82	4.84157	33.3584	6.12978	42.8873	8.09418	54.0988
0.863824	5.41943	0.288204	1.53726	2.86941	18.2649	3.5142	22.482	6.47617	42.7685	9.12091	56.9636	1.84353	12.0997	4.84138	31.0535	6.14037	39.9519	8.09707	50.4851
0.920955	5.41228	0.316695	1.59749	2.85955	17.0347	3.54214	21.2004	6.47861	39.9444	9.1251	53.3991	1.8731	11.4824	4.84127	29.0468	6.15164	37.4049	8.10016	47.3273
0.977813	5.40446	0.345882	1.65484	2.8505	15.9573	3.57057	20.0768	6.48122	37.4729	9.12953	50.2585	1.90386	10.9483	4.84126	27.2843	6.16358	35.1747	8.10347	44.5445
1.03437	5.39594	0.375702	1.70945	2.84229	15.0069	3.59947	19.084	6.48402	35.2922	9.1342	47.4706	1.9357	10.4824	4.84137	25.7239	6.17615	33.2061	8.10699	42.0737
1.09058	5.38666	0.406091	1.76144	2.83499	14.1632	3.62881	18.2006	6.487	33.3538	9.1391	44.9793	1.96855	10.073	4.8416	24.3331	6.18936	31.4563	8.11072	39.8655
1.14643	5.37657	0.436996	1.81091	2.82863	13.4101	3.65858	17.4098	6.49018	31.6197	9.14423	42.7397	2.00231	9.71077	4.84198	23.0859	6.20319	29.8909	8.11467	37.8803
1.20186	5.36561	0.468365	1.85801	2.82326	12.7347	3.68875	16.6978	6.49355	30.0594	9.14959	40.7158	2.03692	9.38838	4.84253	21.9611	6.2176	28.4827	8.11883	36.0861
1.25684	5.35371	0.500153	1.90284	2.81895	12.1263	3.7193	16.0537	6.49711	28.648	9.15515	38.8779	2.0723	9.09988	4.84326	20.9419	6.2326	27.2094	8.12322	34.4566
1.31131	5.34081	0.532319	1.94552	2.81574	11.5763	3.75022	15.4683	6.50088	27.3655	9.16093	37.2015	2.10839	8.84038	4.8442	20.0142	6.24816	26.0527	8.12783	32.9704
1.36523	5.32682	0.564824	1.98616	2.81369	11.0776	3.7815	14.9341	6.50485	26.195	9.16692	35.6664	2.14512	8.60589	4.84535	19.1664	6.26427	24.9976	8.13266	31.6095
1.41854	5.31167	0.597633	2.02487	2.81286	10.624	3.81311	14.4448	6.50903	25.1226	9.1731	34.2555	2.17761	8.41933	4.84675	18.3888	6.2809	24.0315	8.13772	30.3587
1.47116	5.29526	0.630717	2.06176	2.81332	10.2105	3.84505	13.995	6.51342	24.1365	9.17947	32.9543	2.20563	8.27187	4.8484	17.6731	6.29805	23.1437	8.14301	29.2054
1.52305	5.27748	0.664046	2.09691	2.81515	9.83288	3.87731	13.5802	6.51803	23.2269	9.18603	31.7506	2.22901	8.15723	4.85032	17.0124	6.31569	22.3253	8.14853	28.1386
1.57411	5.25825	0.697596	2.13042	2.8184	9.48746	3.90986	13.1966	6.52286	22.3853	9.19277	30.6339	2.24763	8.0709	4.85254	16.4008	6.33381	21.5684	8.15429	27.1491
1.62428	5.23746	0.731343	2.16238	2.82317	9.17112	3.94271	12.8408	6.52791	21.6043	9.19969	29.5951	2.26138	8.00969	4.85507	15.8332	6.35239	20.8667	8.16028	26.2289
1.67346	5.21498	0.760894	2.18903	2.82954	8.88118	3.97584	12.51	6.5332	20.8779	9.20677	28.6264	2.27021	7.97149	4.85792	15.3051	6.37142	20.2143	8.16652	25.3709
1.72156	5.19074	0.786181	2.2109	2.83646	8.64823	4.00923	12.2018	6.53872	20.2005	9.21401	27.7209	2.28295	7.91786	4.86112	14.8127	6.39088	19.6063	8.17301	24.5692
1.7685	5.1646	0.807153	2.22843	2.84342	8.46306	4.04289	11.9138	6.54448	19.5675	9.22141	26.8727	2.29684	7.8612	4.86468	14.3527	6.41076	19.0384	8.17974	23.8186
1.81418	5.13649	0.823772	2.24195	2.84993	8.31869	4.07679	11.6442	6.55049	18.9746	9.22896	26.0765	2.31582	7.78677	4.86862	13.9221	6.43104	18.5069	8.18672	23.1142
1.8585	5.10633	0.83601	2.25169	2.85559	8.20988	4.11093	11.3914	6.55675	18.4183	9.23665	25.3278	2.33994	7.69672	4.87296	13.5183	6.4517	18.0084	8.19396	22.4522
1.90139	5.07406	0.843852	2.25784	2.86003	8.13276	4.1453	11.1539	6.56326	17.8954	9.24448	24.6223	2.36929	7.59348	4.87771	13.1391	6.47274	17.54	8.20146	21.8287
1.94275	5.03965	0.855134	2.26658	2.86301	8.08465	4.17988	10.9303	6.57004	17.403	9.25245	23.9565	2.40393	7.47961	4.8829	12.7823	6.49413	17.0991	8.20922	21.2407
1.98254	5.00311	0.867412	2.27592	2.86748	8.01717	4.21468	10.7195	6.57708	16.9386	9.26054	23.3272	2.44396	7.35767	4.88853	12.4463	6.51587	16.6834	8.21725	20.6852
2.02068	4.96449	0.884132	2.28839	2.87257	7.94599	4.24969	10.5205	6.5844	16.4999	9.26876	22.7314	2.48424	7.24412	4.89463	12.1293	6.53793	16.2908	8.22555	20.1598
2.05716	4.92386	0.905311	2.30377	2.87992	7.85273	4.28488	10.3322	6.592	16.0849	9.2771	22.1665	2.52473	7.13809	4.90122	11.83	6.56031	15.9194	8.23413	19.6619
2.09196	4.88136	0.930972	2.32182	2.88993	7.74041	4.32026	10.1539	6.59988	15.6919	9.28555	21.6303	2.56541	7.03883	4.9083	11.547	6.583	15.5678	8.24299	19.1897
2.1251	4.83717	0.961135	2.34224	2.9031	7.61261	4.35582	9.9848	6.60806	15.3192	9.29412	21.1205	2.60624	6.94568	4.9159	11.2792	6.60597	15.2342	8.25213	18.7413
2.15663	4.79151	0.99582	2.36472	2.92007	7.47327	4.39155	9.82424	6.61653	14.9653	9.30279	20.6354	2.64719	6.85803	4.92403	11.0255	6.62922	14.9174	8.26157	18.3149
2.1866	4.7446	1.03057	2.38623	2.94164	7.32657	4.42744	9.67158	6.62531	14.6289	9.31157	20.173	2.68823	6.77537	4.93271	10.7849	6.65273	14.6162	8.27129	17.909
2.2151	4.69673	1.06538	2.40683	2.96546	7.19301	4.46348	9.52626	6.63441	14.3089	9.32045	19.732	2.72934	6.69724	4.94196	10.5566	6.67649	14.3295	8.28132	17.5222
2.23882	4.65442	1.10024	2.42656	2.99155	7.07161	4.49968	9.38778	6.64382	14.004	9.32943	19.3109	2.77048	6.62322	4.9518	10.3398	6.70049	14.0562	8.29165	17.1533
2.25827	4.61808	1.13514	2.44546	3.01989	6.96143	4.53601	9.25567	6.65355	13.7133	9.33851	18.9083	2.81163	6.55293	4.96223	10.1338	6.72472	13.7954	8.30229	16.8011
2.27386	4.58791	1.17008	2.46359	3.05045	6.86159	4.57247	9.12951	6.66362	13.4359	9.34768	18.523	2.85277	6.48604	4.97328	9.93785	6.74917	13.5464	8.31325	16.4645
2.28589	4.56402	1.20504	2.48097	3.08317	6.7712	4.60906	9.00891	6.67403	13.1709	9.35695	18.1541	2.89386	6.42226	4.98496	9.7514	6.77382	13.3082	8.32453	16.1426
2.29458	4.54646	1.24003	2.49764	3.11796	6.68943	4.64578	8.89351	6.68479	12.9177	9.3663	17.8004	2.93488	6.3613	4.99729	9.57389	6.79866	13.0804	8.33613	15.8345
2.30007	4.53523	1.27504	2.51364	3.15473	6.6155	4.68261	8.78299	6.6959	12.6754	9.37575	17.4611	2.97581	6.30293	5.01029	9.40479	6.82368	12.8621	8.34806	15.5394
2.30788	4.5191	1.31007	2.52901	3.19334	6.54862	4.71479	8.69042	6.70737	12.4435	9.38529	17.1352	3.01662	6.24691	5.02396	9.24364	6.84887	12.6528	8.36033	15.2565
