S0		A0		S1		S2		S3		S4		A1		A2		A3		A4		A5	
2000  Points		1994  Points		1752  Points		1373  Points		906  Points		724  Points		1851  Points		1595  Points		1114  Points		646  Points		446  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00188358	1.0046	0.000749733	0.0369019	0.549999	440.321	0.675002	732.037	1.1	632.38	1.65	4907.31	0.275004	187.152	0.825	2518.75	1.35	767.42	1.375	2817.4	1.925	2883.17
0.00382477	1.00455	0.000898564	0.040386	0.549993	172.867	0.675015	236.467	1.1	299.568	1.65	727.277	0.275024	80.8437	0.825001	365.037	1.35	365.69	1.37501	568.057	1.925	740.336
0.00576603	1.00454	0.00106078	0.0438666	0.549982	107.543	0.675043	141.013	1.10001	196.273	1.65	392.742	0.275059	51.563	0.825002	196.778	1.35	240.036	1.37502	315.875	1.925	424.695
0.00770721	1.00453	0.00123606	0.0473325	0.549966	78.0471	0.675085	100.465	1.10001	145.949	1.65	269.004	0.27511	37.8578	0.825005	134.694	1.34999	178.65	1.37504	218.761	1.925	297.75
0.00964819	1.0045	0.00142459	0.0507931	0.549945	61.2473	0.675141	78.0321	1.10002	116.164	1.65	204.557	0.275176	29.9123	0.825009	102.389	1.34999	142.266	1.37506	167.322	1.92501	229.231
0.0115891	1.00447	0.00162632	0.0542478	0.54992	50.3977	0.675211	63.7918	1.10002	96.4766	1.65001	165.021	0.275258	24.7269	0.825014	82.5835	1.34998	118.195	1.37509	135.47	1.92501	186.348
0.0135297	1.00444	0.00184102	0.0576906	0.549889	42.8125	0.675295	53.9498	1.10003	82.4954	1.65001	138.293	0.275355	21.0767	0.825019	69.1982	1.34998	101.09	1.37513	113.806	1.92501	156.981
0.0154702	1.0044	0.00206877	0.0611258	0.549853	37.211	0.675393	46.7413	1.10004	72.0537	1.65001	119.016	0.275468	18.3683	0.825026	59.5469	1.34997	88.3103	1.37518	98.1178	1.92502	135.611
0.0174103	1.00435	0.00230946	0.0645518	0.549812	32.9049	0.675505	41.2343	1.10005	63.9586	1.65002	104.456	0.275596	16.2791	0.825034	52.2585	1.34996	78.3988	1.37523	86.2316	1.92502	119.361
0.0193503	1.0043	0.00256289	0.0679642	0.549766	29.4914	0.675631	36.8903	1.10007	57.4989	1.65002	93.0703	0.275739	14.6188	0.825043	46.5598	1.34995	70.4874	1.37528	76.9151	1.92503	106.59
0.0212899	1.00424	0.00282916	0.0713678	0.549716	26.7188	0.675771	33.3761	1.10008	52.2245	1.65003	83.9226	0.275898	13.2679	0.825053	41.9819	1.34994	64.0263	1.37535	69.4163	1.92503	96.2868
0.0232292	1.00418	0.00310794	0.0747561	0.549661	24.4222	0.675924	30.475	1.1001	47.8366	1.65003	76.4123	0.276072	12.1473	0.825064	38.2238	1.34993	58.6502	1.37542	63.2506	1.92504	87.8004
0.0251679	1.00411	0.00339941	0.078135	0.549601	22.4886	0.676092	28.0395	1.10011	44.129	1.65004	70.1359	0.276261	11.2031	0.825076	35.0834	1.34992	54.1068	1.3755	58.0917	1.92505	80.6887
0.0271064	1.00404	0.00370336	0.0815011	0.549536	20.8382	0.676273	25.9659	1.10013	40.955	1.65004	64.8123	0.276466	10.3966	0.825089	32.4199	1.34991	50.2166	1.37558	53.7115	1.92506	74.6429
